ScheduleID,OfferedID,Status,StudentID
9001,5001,Completed,100001
9002,5002,Completed,100001
9003,5004,Completed,100001
9004,5069,Completed,100001
9005,5071,Completed,100001
9006,5074,Completed,100001
9032,5001,Completed,100005
9033,5003,Completed,100005
9034,5067,Completed,100005
9035,5069,Completed,100005
9036,5071,Completed,100005
9037,5024,Accepted,100005
9038,5028,Accepted,100005
9039,5030,Draft,100005
9040,5084,Draft,100005
9041,5088,Draft,100005
9042,5103,Draft,100005
9007,5003,Completed,100008
9008,5007,Completed,100008
9009,5067,Completed,100008
9010,5069,Completed,100008
9011,5001,Completed,100014
9012,5003,Completed,100014
9013,5067,Completed,100014
9014,5069,Completed,100014
9015,5071,Completed,100014
9016,5023,Accepted,100014
9017,5024,Accepted,100014
9018,5026,Accepted,100014
9019,5086,Optimized,100014
9020,5003,Completed,100017
9021,5006,Completed,100017
9022,5067,Completed,100017
9023,5069,Completed,100017
9024,5019,Accepted,100021
9025,5020,Accepted,100021
9026,5083,Optimized,100021
9027,5084,Optimized,100021
9028,5042,Draft,100021
9029,5044,Draft,100021
9043,5098,Draft,100021
9044,5100,Draft,100021
9030,5018,Accepted,100026
9031,5020,Accepted,100026
